item,price,link
Aparelho Gravitacional,0,ragnarok.uol.com.br/database/thor/itens/detalhes/gravity_parts
Ar Silencioso,0,ragnarok.uol.com.br/database/thor/itens/detalhes/air_stream
Balde,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bucket
Balde Cheio,0,ragnarok.uol.com.br/database/thor/itens/detalhes/full_bucket
Bambu Afiado,0,ragnarok.uol.com.br/database/thor/itens/detalhes/sharp_bamboo
Bandeira Coreana Dourada,0,ragnarok.uol.com.br/database/thor/itens/detalhes/taeguk_flag
Banquete Suntuoso,0,ragnarok.uol.com.br/database/thor/itens/detalhes/vit_dish07
Barbas de Mulher,0,ragnarok.uol.com.br/database/thor/itens/detalhes/beard_of_women
Bala Amarga,0,ragnarok.uol.com.br/database/thor/itens/detalhes/pill_
Bala Natalina,0,ragnarok.uol.com.br/database/thor/itens/detalhes/candy_b
Bilhete de Agradecimento por Investimento,0,ragnarok.uol.com.br/database/thor/itens/detalhes/thanks_invest_ticket
Bilhete de Férias,0,ragnarok.uol.com.br/database/thor/itens/detalhes/vacance_ticket
Bilhete de Loteria do Templo,0,ragnarok.uol.com.br/database/thor/itens/detalhes/temple_lottery_ticket
Bilhete do James,0,ragnarok.uol.com.br/database/thor/itens/detalhes/piece_memo_of_james
Biscoito da Festie,0,ragnarok.uol.com.br/database/thor/itens/detalhes/festi_cookie
Biscoito da Flora,0,ragnarok.uol.com.br/database/thor/itens/detalhes/flora_cookie
Bebida Amargosa,0,ragnarok.uol.com.br/database/thor/itens/detalhes/vit_dish06
Bebida de Realgar,0,ragnarok.uol.com.br/database/thor/itens/detalhes/realgar_wine
Bênção de Tyr,0,ragnarok.uol.com.br/database/thor/itens/detalhes/tyrs_blessing
Bife Bombástico,0,ragnarok.uol.com.br/database/thor/itens/detalhes/str_dish03
Bife Marinado Brilhante,0,ragnarok.uol.com.br/database/thor/itens/detalhes/str_dish06
Bife Marinado com Ervas,0,ragnarok.uol.com.br/database/thor/itens/detalhes/str_dish04
Barbe Jogo da Forca,0,ragnarok.uol.com.br/database/thor/itens/detalhes/hot_muffler_doll
Batata-Doce Frita,0,ragnarok.uol.com.br/database/thor/itens/detalhes/luk_dish03
Bolsa de Moedas E[50],0,ragnarok.uol.com.br/database/thor/itens/detalhes/e_coin_pack50
Bolsa de Papai Noel,0,ragnarok.uol.com.br/database/thor/itens/detalhes/red_bag
Bolsa Hanbok,0,ragnarok.uol.com.br/database/thor/itens/detalhes/hanbok_bag
Bolsa Mágica,0,ragnarok.uol.com.br/database/thor/itens/detalhes/captured_bag
Biscoito da Sorte,0,ragnarok.uol.com.br/database/thor/itens/detalhes/lucky_cookie_b
Biscoito da Sorte: Glória,0,ragnarok.uol.com.br/database/thor/itens/detalhes/lucky_cookie01
Biscoito da Sorte: Impositio Manus,0,ragnarok.uol.com.br/database/thor/itens/detalhes/lucky_cookie03
Biscoito da Sorte: Magnificat,0,ragnarok.uol.com.br/database/thor/itens/detalhes/lucky_cookie02
Biscoito de Morcego,0,ragnarok.uol.com.br/database/thor/itens/detalhes/cookies_bat
Biscoito de Navio,0,ragnarok.uol.com.br/database/thor/itens/detalhes/cat_hard_biscuit
Biscoito do Snow,0,ragnarok.uol.com.br/database/thor/itens/detalhes/snow_cookie
Bolinho Divino[10],0,ragnarok.uol.com.br/database/thor/itens/detalhes/almighty_box
Bolo de Coco,0,ragnarok.uol.com.br/database/thor/itens/detalhes/oriental_pastry
Bolo de Morango de Rune-Midgard,0,ragnarok.uol.com.br/database/thor/itens/detalhes/strawberry_cake
Bilhete da Kafra,0,ragnarok.uol.com.br/database/thor/itens/detalhes/kapras_pass
Bolo de Pêssego,0,ragnarok.uol.com.br/database/thor/itens/detalhes/dex_dish06
Bolo-Mousse de Chocolate,0,ragnarok.uol.com.br/database/thor/itens/detalhes/dex_dish02
Bolsa de Couro,0,ragnarok.uol.com.br/database/thor/itens/detalhes/leather_pouch
Bolsa de Ferramentas de Pesquisa,0,ragnarok.uol.com.br/database/thor/itens/detalhes/research_tool_bag
Bolinho de Arroz,0,ragnarok.uol.com.br/database/thor/itens/detalhes/small_rice_dough
Bolinho de Arroz com Morango,0,ragnarok.uol.com.br/database/thor/itens/detalhes/luk_dish08
Bolinho de Carne,0,ragnarok.uol.com.br/database/thor/itens/detalhes/big_bun
Buquê de Oferenda,0,ragnarok.uol.com.br/database/thor/itens/detalhes/offering_bouquet
Burrito Gigante,0,ragnarok.uol.com.br/database/thor/itens/detalhes/vit_dish08
Biscoito do Winter,0,ragnarok.uol.com.br/database/thor/itens/detalhes/winter_cookie
Biscoito dos Solteiros,0,ragnarok.uol.com.br/database/thor/itens/detalhes/solo_cookie
Biscoito Melado,0,ragnarok.uol.com.br/database/thor/itens/detalhes/sweet_canape
Biscoito Roubado,0,ragnarok.uol.com.br/database/thor/itens/detalhes/stolen_cookie
Bloco de Sucata,0,ragnarok.uol.com.br/database/thor/itens/detalhes/largescrap
Bonequinha da Jirtas,0,ragnarok.uol.com.br/database/thor/itens/detalhes/relentless_queen_doll
Bonequinho Faminto,0,ragnarok.uol.com.br/database/thor/itens/detalhes/burned_specter_doll
Boneca Fofura Contorcionista,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bridge_stuffed_doll
Boneca Queimada da Baba Yaga,0,ragnarok.uol.com.br/database/thor/itens/detalhes/cute_eat_machine_doll
Boneco de Bafomé Maldito,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bapho_doll
Bradium Perfeito,0,ragnarok.uol.com.br/database/thor/itens/detalhes/hd_bradium
Broche Luxuoso,0,ragnarok.uol.com.br/database/thor/itens/detalhes/kiel_button
Cabelo de Lusalka,0,ragnarok.uol.com.br/database/thor/itens/detalhes/lusalka_hair
Cabelo Seco,0,ragnarok.uol.com.br/database/thor/itens/detalhes/firm_hair
Caderno de Varmunt,0,ragnarok.uol.com.br/database/thor/itens/detalhes/barmund_note
Caderno de Bazett,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bazetts_order
Caixa de Aço,0,ragnarok.uol.com.br/database/thor/itens/detalhes/iron_box
Caixa de Chapéu,0,ragnarok.uol.com.br/database/thor/itens/detalhes/brilliant_hat_box
Caixa com Primeiros Socorros,0,ragnarok.uol.com.br/database/thor/itens/detalhes/cure_box
Caixa de Balões Poring,0,ragnarok.uol.com.br/database/thor/itens/detalhes/poring_balloon_box
Caixa de Entrega,0,ragnarok.uol.com.br/database/thor/itens/detalhes/merchant_box_1
Caixa de Entrega,0,ragnarok.uol.com.br/database/thor/itens/detalhes/merchant_box_2
Caixa de Entrega,0,ragnarok.uol.com.br/database/thor/itens/detalhes/merchant_box_3
Caixa de Chapéu do Mestre Sala,0,ragnarok.uol.com.br/database/thor/itens/detalhes/carnival_hat_box
Caixa de Coroa de Freya,0,ragnarok.uol.com.br/database/thor/itens/detalhes/freyja_crown_box
Caixa de Entrega,0,ragnarok.uol.com.br/database/thor/itens/detalhes/merchant_box_etc
Caixa de Ervas Azuis,0,ragnarok.uol.com.br/database/thor/itens/detalhes/blue_herb_box2
Caixa de Ferramentas Portátil,0,ragnarok.uol.com.br/database/thor/itens/detalhes/portable_toolbox
Caixa de Jornada Nv100,0,ragnarok.uol.com.br/database/thor/itens/detalhes/100lvup
Caixa de Jornada Nv120,0,ragnarok.uol.com.br/database/thor/itens/detalhes/120lvup
Caixa de Jornada Nv130,0,ragnarok.uol.com.br/database/thor/itens/detalhes/130lvup
Caixa de Jornada Nv140,0,ragnarok.uol.com.br/database/thor/itens/detalhes/140lvup
Caixa de Jornada Nv150,0,ragnarok.uol.com.br/database/thor/itens/detalhes/150lvup
Caixa de Fruto de Yggdrasil,0,ragnarok.uol.com.br/database/thor/itens/detalhes/iggdrasilberry_box
Caixa de Jornada Nv80,0,ragnarok.uol.com.br/database/thor/itens/detalhes/80lvup
Caixa de Mastelas[100],0,ragnarok.uol.com.br/database/thor/itens/detalhes/fruit_of_mastela_box2
Caixa de Mastelas[200],0,ragnarok.uol.com.br/database/thor/itens/detalhes/mastela_fruit_box
Caixa de Tiara da Porta Bandeira,0,ragnarok.uol.com.br/database/thor/itens/detalhes/carnival_circlet_box
Caixa de Veneno Mortal [30],0,ragnarok.uol.com.br/database/thor/itens/detalhes/poison_bottle_box2
Caixa do ArchAngeling,0,ragnarok.uol.com.br/database/thor/itens/detalhes/angelporing_box
Caixa de Sementes,0,ragnarok.uol.com.br/database/thor/itens/detalhes/seed_box
Caixa de Suprimentos,0,ragnarok.uol.com.br/database/thor/itens/detalhes/supply_box
Caixa de Poção Branca Compacta [100],0,ragnarok.uol.com.br/database/thor/itens/detalhes/white_slim_pot_box2
Caixa de Poções Brancas,0,ragnarok.uol.com.br/database/thor/itens/detalhes/white_potion_box
Caixa de Purificador de Ar,0,ragnarok.uol.com.br/database/thor/itens/detalhes/box_of_aircleaner
Caixa de Refinamento[100],0,ragnarok.uol.com.br/database/thor/itens/detalhes/refine_ore_box4_set20
Caixa de Refinamento[5],0,ragnarok.uol.com.br/database/thor/itens/detalhes/refine_ore_box4
Caixa de Refinamento[50],0,ragnarok.uol.com.br/database/thor/itens/detalhes/refine_ore_box4_set10
Caixa do Festival das Flores de Neve,0,ragnarok.uol.com.br/database/thor/itens/detalhes/snow_festa_box
Caixa do Halloween,0,ragnarok.uol.com.br/database/thor/itens/detalhes/halloween_g_box
Caixa do Pergaminho do Eddga,0,ragnarok.uol.com.br/database/thor/itens/detalhes/eddga_scroll_box
Caixa do Tesouro de Pierre,0,ragnarok.uol.com.br/database/thor/itens/detalhes/pierre_treasurebox
Caixa Rosa,0,ragnarok.uol.com.br/database/thor/itens/detalhes/pink_gift_box
Caixão Tenebroso,0,ragnarok.uol.com.br/database/thor/itens/detalhes/fit_pipe
Caixinha de Corações,0,ragnarok.uol.com.br/database/thor/itens/detalhes/heart_box
Caixote,0,ragnarok.uol.com.br/database/thor/itens/detalhes/small_wooden_chest
Caldeirão de Ferro Fundido,0,ragnarok.uol.com.br/database/thor/itens/detalhes/cast_iron_caldron
Cálice da Ilusão,0,ragnarok.uol.com.br/database/thor/itens/detalhes/glass_of_illusion
Camarão na Moranga,0,ragnarok.uol.com.br/database/thor/itens/detalhes/caskinya
Camiseta de Corrida,0,ragnarok.uol.com.br/database/thor/itens/detalhes/rag_t_shirts
Capsula de Bombardeio,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bombring_box
Carne de Porco 1a Classe,0,ragnarok.uol.com.br/database/thor/itens/detalhes/pork_belly_h
Carne de Porco Gordurosa,0,ragnarok.uol.com.br/database/thor/itens/detalhes/spareribs_h
Carneiro Capturado,0,ragnarok.uol.com.br/database/thor/itens/detalhes/captured_sheep
Carnium Perfeito,0,ragnarok.uol.com.br/database/thor/itens/detalhes/hd_carnium
Carta à Esposa,0,ragnarok.uol.com.br/database/thor/itens/detalhes/wellbeing_letter
Carta Azul 0,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bluecard_0
Carta Azul 1,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bluecard_1
Carta Azul 2,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bluecard_2
Carta Azul C,0,ragnarok.uol.com.br/database/thor/itens/detalhes/blue_card_c
Carta Azul R,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bluecard_r
Carta Azul W,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bluecard_w
Carta com a letra A,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bluecard_a
Carta com a letra F,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bluecard_f
Carta com a letra H,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bluecard_h
Carta com a letra L,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bluecard_l
Carta com a letra N,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bluecard_n
Carta com a letra P,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bluecard_p
Carta com a letra U,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bluecard_u
Carta com a letra Y,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bluecard_y
Cartão da Aventura A,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bravery_card_a
Cartão da Aventura B,0,ragnarok.uol.com.br/database/thor/itens/detalhes/bravery_card_b
Cartão de Acesso Amarelo,0,ragnarok.uol.com.br/database/thor/itens/detalhes/yellow_key_card
Cartão de Acesso Azul,0,ragnarok.uol.com.br/database/thor/itens/detalhes/blue_key_card
Cartão de Acesso de Brinquedo,0,ragnarok.uol.com.br/database/thor/itens/detalhes/toy_key
Cartão de Acesso Exuberante,0,ragnarok.uol.com.br/database/thor/itens/detalhes/fancy_key_card
Cartão de Acesso Preto,0,ragnarok.uol.com.br/database/thor/itens/detalhes/black_key_card
Cartão de Acesso Verde,0,ragnarok.uol.com.br/database/thor/itens/detalhes/green_key_card
Cartão de Acesso Vermelho,0,ragnarok.uol.com.br/database/thor/itens/detalhes/red_key_card
Cartão de Presença,0,ragnarok.uol.com.br/database/thor/itens/detalhes/attendance_card
Cartão de Troca de Nome,0,ragnarok.uol.com.br/database/thor/itens/detalhes/change_name_card
Cartão de Viagem Comemorativo,0,ragnarok.uol.com.br/database/thor/itens/detalhes/ro_transportation_card_
Carta da Irmã,0,ragnarok.uol.com.br/database/thor/itens/detalhes/sister_letter
Carta da Mamãe,0,ragnarok.uol.com.br/database/thor/itens/detalhes/mother_letter
Carta de Amor,0,ragnarok.uol.com.br/database/thor/itens/detalhes/grils_naivety
Carta de Chico,0,ragnarok.uol.com.br/database/thor/itens/detalhes/letter_from_chico
Carta de K.H.,0,ragnarok.uol.com.br/database/thor/itens/detalhes/kyll_hire_letter2
Carta de Lugen,0,ragnarok.uol.com.br/database/thor/itens/detalhes/letter_from_lugen
Carta de Otto,0,ragnarok.uol.com.br/database/thor/itens/detalhes/letter_from_otto
Carta de Recomendação,0,ragnarok.uol.com.br/database/thor/itens/detalhes/letter_of_recommend
Carta do Irmão,0,ragnarok.uol.com.br/database/thor/itens/detalhes/younger_bro_letter
Carta para Elly,0,ragnarok.uol.com.br/database/thor/itens/detalhes/kyll_hire_letter
Cartão Ibeu,0,ragnarok.uol.com.br/database/thor/itens/detalhes/ibeu_card
Casca de Tartaruga,0,ragnarok.uol.com.br/database/thor/itens/detalhes/casca_de_tartaruga
Catálogo de Vendas Bronze,0,ragnarok.uol.com.br/database/thor/itens/detalhes/uni_catalog_bz
Catálogo de Vendas Ouro,0,ragnarok.uol.com.br/database/thor/itens/detalhes/vending_search_scroll2
Catálogo de Vendas Prata,0,ragnarok.uol.com.br/database/thor/itens/detalhes/vending_search_scroll
Cauda de Camundongo,0,ragnarok.uol.com.br/database/thor/itens/detalhes/tiny_mouse_tail
Caudas de Escorpião Fritas,0,ragnarok.uol.com.br/database/thor/itens/detalhes/luk_dish05
Caudas de Macaco Fritas,0,ragnarok.uol.com.br/database/thor/itens/detalhes/luk_dish01
Caule Delicioso,0,ragnarok.uol.com.br/database/thor/itens/detalhes/yummystem
Caule Murcho,0,ragnarok.uol.com.br/database/thor/itens/detalhes/decaying_stem
Caveira,0,ragnarok.uol.com.br/database/thor/itens/detalhes/skull_
Certificado de Investimento dos Gatos,0,ragnarok.uol.com.br/database/thor/itens/detalhes/cats_invest_certif
Certificado de Missão 1,0,ragnarok.uol.com.br/database/thor/itens/detalhes/mission_certificate1
Certificado de Missão 10,0,ragnarok.uol.com.br/database/thor/itens/detalhes/mission_certificate10
Certificado de Missão 11,0,ragnarok.uol.com.br/database/thor/itens/detalhes/mission_certificate11
Certificado de Missão 12,0,ragnarok.uol.com.br/database/thor/itens/detalhes/mission_certificate12
Certificado de Missão 2,0,ragnarok.uol.com.br/database/thor/itens/detalhes/mission_certificate2
Certificado de Missão 3,0,ragnarok.uol.com.br/database/thor/itens/detalhes/mission_certificate3
Certificado de Missão 4,0,ragnarok.uol.com.br/database/thor/itens/detalhes/mission_certificate4
Certificado de Missão 5,0,ragnarok.uol.com.br/database/thor/itens/detalhes/mission_certificate5
Chave da Cabana,0,ragnarok.uol.com.br/database/thor/itens/detalhes/villa_spare_key
Chave da Decepção,0,ragnarok.uol.com.br/database/thor/itens/detalhes/cheat_key
Chave da Diversão,0,ragnarok.uol.com.br/database/thor/itens/detalhes/mirth_key
Chave da Ilusão,0,ragnarok.uol.com.br/database/thor/itens/detalhes/virtual_key
Chave da Mansão,0,ragnarok.uol.com.br/database/thor/itens/detalhes/key_of_the_mansion
Chave de Cristal,0,ragnarok.uol.com.br/database/thor/itens/detalhes/crystal_key
Chave do Selo,0,ragnarok.uol.com.br/database/thor/itens/detalhes/key_of_seal
Chave Dourada,0,ragnarok.uol.com.br/database/thor/itens/detalhes/golden_key
Chave Dourada,0,ragnarok.uol.com.br/database/thor/itens/detalhes/gold_key77
Chave Dourada,0,ragnarok.uol.com.br/database/thor/itens/detalhes/gold_key
Certificado de Missão 6,0,ragnarok.uol.com.br/database/thor/itens/detalhes/mission_certificate6
Certificado de Missão 7,0,ragnarok.uol.com.br/database/thor/itens/detalhes/mission_certificate7
Certificado de Missão 8,0,ragnarok.uol.com.br/database/thor/itens/detalhes/mission_certificate8
Certificado de Missão 9,0,ragnarok.uol.com.br/database/thor/itens/detalhes/mission_certificate9
Certificado do Explorador,0,ragnarok.uol.com.br/database/thor/itens/detalhes/sapa_feat_cert
Certificado Real,0,ragnarok.uol.com.br/database/thor/itens/detalhes/xmas_coupon
Chapéu de Yulia,0,ragnarok.uol.com.br/database/thor/itens/detalhes/yulia_hat
Chapéu do Torneio: Coragem,0,ragnarok.uol.com.br/database/thor/itens/detalhes/cool_fb_hat_box
Chapéu do Torneio: Coragem Definitiva,0,ragnarok.uol.com.br/database/thor/itens/detalhes/cool_hat_box2
Chapéu do Torneio: Honra,0,ragnarok.uol.com.br/database/thor/itens/detalhes/glory_fb_hat_box
Chapéu do Torneio: Paixão,0,ragnarok.uol.com.br/database/thor/itens/detalhes/passion_fb_hat_box
Chapéu do Torneio: Paixão Total,0,ragnarok.uol.com.br/database/thor/itens/detalhes/passion_hat_box2
Chapéu do Torneio: Vitória,0,ragnarok.uol.com.br/database/thor/itens/detalhes/victory_fb_hat_box
Chapéu do Torneio: Vitória Triunfal,0,ragnarok.uol.com.br/database/thor/itens/detalhes/victory_hat_box2
Chave Amarela,0,ragnarok.uol.com.br/database/thor/itens/detalhes/key_yellow
Chave Azul,0,ragnarok.uol.com.br/database/thor/itens/detalhes/key_blue
Chave Prateada,0,ragnarok.uol.com.br/database/thor/itens/detalhes/silver_key77
Chave Preta,0,ragnarok.uol.com.br/database/thor/itens/detalhes/key_black
Chave Verde,0,ragnarok.uol.com.br/database/thor/itens/detalhes/key_green
Chave Vermelha,0,ragnarok.uol.com.br/database/thor/itens/detalhes/key_red
Chaves da Mansão Rosimier,0,ragnarok.uol.com.br/database/thor/itens/detalhes/rosimier_key
Chicle de Bola,0,ragnarok.uol.com.br/database/thor/itens/detalhes/he_bubble_gum
Chicle Recheado Buzzy Bol,0,ragnarok.uol.com.br/database/thor/itens/detalhes/jelly_bean
Chocolate do Cupido,0,ragnarok.uol.com.br/database/thor/itens/detalhes/cupid_choco
Chocolate Puro,0,ragnarok.uol.com.br/database/thor/itens/detalhes/chocolate_pie
Chá da Família Real,0,ragnarok.uol.com.br/database/thor/itens/detalhes/int_dish08
Chá de Ervas com Uvas,0,ragnarok.uol.com.br/database/thor/itens/detalhes/int_dish01
Chá de Ervas e Geléia Real Especial,0,ragnarok.uol.com.br/database/thor/itens/detalhes/int_dish07
Chá de Ervas e Mel,0,ragnarok.uol.com.br/database/thor/itens/detalhes/int_dish03
Chá Quente,0,ragnarok.uol.com.br/database/thor/itens/detalhes/hot_tee
Chá Vermelho de Outono,0,ragnarok.uol.com.br/database/thor/itens/detalhes/int_dish02
Chifre de Carneiro,0,ragnarok.uol.com.br/database/thor/itens/detalhes/lamb_horn
Cinzas da Escuridão,0,ragnarok.uol.com.br/database/thor/itens/detalhes/dark_ashes
Cinzas de Herói,0,ragnarok.uol.com.br/database/thor/itens/detalhes/hero_remains
Convite de Aniversário,0,ragnarok.uol.com.br/database/thor/itens/detalhes/ro_festival_ticket
Convite de Festa,0,ragnarok.uol.com.br/database/thor/itens/detalhes/ro_party_ticket
Convite para Duelo,0,ragnarok.uol.com.br/database/thor/itens/detalhes/invite_for_duel
Convite para Reunião,0,ragnarok.uol.com.br/database/thor/itens/detalhes/invite_to_meeting
Convite Sombrio,0,ragnarok.uol.com.br/database/thor/itens/detalhes/dark_invitation
Colar Brilhante,0,ragnarok.uol.com.br/database/thor/itens/detalhes/magic_necklace_
Colar de Cinzas,0,ragnarok.uol.com.br/database/thor/itens/detalhes/magic_necklace
Colher de Prata de Babayaga,0,ragnarok.uol.com.br/database/thor/itens/detalhes/babayaga_silver_spoon
Componente de Charleston,0,ragnarok.uol.com.br/database/thor/itens/detalhes/charleston_parts
Constelação Obscura,0,ragnarok.uol.com.br/database/thor/itens/detalhes/hazy_starlight
Coragem de Manuk,0,ragnarok.uol.com.br/database/thor/itens/detalhes/manuks_courage
Corda,0,ragnarok.uol.com.br/database/thor/itens/detalhes/corda
Corda de Caça,0,ragnarok.uol.com.br/database/thor/itens/detalhes/binding_rope
Cozido de Carne Especial,0,ragnarok.uol.com.br/database/thor/itens/detalhes/agi_dish09
Cozido Imortal,0,ragnarok.uol.com.br/database/thor/itens/detalhes/vit_dish10
Crachá de Aprendiz,0,ragnarok.uol.com.br/database/thor/itens/detalhes/novice_nametag
Crânio do Andarilho,0,ragnarok.uol.com.br/database/thor/itens/detalhes/skull_of_vagabond
Crepúsculo Vermelho,0,ragnarok.uol.com.br/database/thor/itens/detalhes/dusk_glow
Crina de Dragão,0,ragnarok.uol.com.br/database/thor/itens/detalhes/dragons_mane
Coquetel Sopro do Dragão,0,ragnarok.uol.com.br/database/thor/itens/detalhes/int_dish10
Coquetel Sopro do Dragão,0,ragnarok.uol.com.br/database/thor/itens/detalhes/int_dish10_m
Cristal Sangrento da Escuridão,0,ragnarok.uol.com.br/database/thor/itens/detalhes/crystal_of_feardoom
Crocodilo no Vapor com Vegetais,0,ragnarok.uol.com.br/database/thor/itens/detalhes/agi_dish07
Cruz de Prata,0,ragnarok.uol.com.br/database/thor/itens/detalhes/silver_cross
Cupom de Aprimoramento do RWC,0,ragnarok.uol.com.br/database/thor/itens/detalhes/rwc_inicializer
Cupom de Cabeleireiro,0,ragnarok.uol.com.br/database/thor/itens/detalhes/louis_hair_coupon
Cupom de Corte de Cabelo,0,ragnarok.uol.com.br/database/thor/itens/detalhes/new_style_coupon
Cupom de Decoração de Carrinho,0,ragnarok.uol.com.br/database/thor/itens/detalhes/p_cart_c
Cupom de Donzela Verde,0,ragnarok.uol.com.br/database/thor/itens/detalhes/chung_e_pet_coupon
Cupom de Imp,0,ragnarok.uol.com.br/database/thor/itens/detalhes/imp_pet_coupon
Cupom de Impressão de Foto Digital,0,ragnarok.uol.com.br/database/thor/itens/detalhes/digital_print_ticket
Cristal Brilhante,0,ragnarok.uol.com.br/database/thor/itens/detalhes/glittering_crystal
Cristal Congelado,0,ragnarok.uol.com.br/database/thor/itens/detalhes/frost_crystal
Cristal de Âmbar,0,ragnarok.uol.com.br/database/thor/itens/detalhes/holy_marble
Cupom de Succubus,0,ragnarok.uol.com.br/database/thor/itens/detalhes/succu_pet_coupon
Cupom de Tintura,0,ragnarok.uol.com.br/database/thor/itens/detalhes/clothing_dye_coupon
Cristal de Mana,0,ragnarok.uol.com.br/database/thor/itens/detalhes/mana_crystal
