monster,item,dropRate,link
Megalith,Velha Caixa Roxa,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/megalith
Megalith,Minério de Elunium,0.05,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/megalith
Megalith,Minério de Elunium,2.07,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/megalith
Megalith,Carta Megalith,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/megalith
Baphomet,Caixa Convidativa,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_baphomet2
Baphomet,Minério de Elunium,0.05,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_baphomet2
Baphomet,Minério de Oridecon,0.05,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_baphomet2
Baphomet,Foice [1],0.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_baphomet2
Baphomet,Carta Bafomé,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_baphomet2
Byorgue,Crocodilo no Vapor com Vegetais,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/byorgue
Byorgue,Espada Chanfrada,43.65,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/byorgue
Byorgue,Katar Perfurante [1],0.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/byorgue
Byorgue,Adaga do Algoz,1.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/byorgue
Byorgue,Carta Byorgue,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/byorgue
Kobold Abissal,Aço,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_2
Kobold Abissal,Cabelo Azul,53.36,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_2
Kobold Abissal,Zargônio,7%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_2
Kobold Abissal,Minério de Elunium,0.26,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_2
Kobold Abissal,Cx Poções Brancas de GdE[30],0.04,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_2
Kobold Abissal,Guilhotina de Vellum,0.02,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_2
Kobold Abissal,Aço,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_3
Kobold Abissal,Cabelo Azul,53.36,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_3
Kobold Abissal,Zargônio,7%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_3
Kobold Abissal,Minério de Elunium,0.26,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_3
Kobold Abissal,Cx Poções Brancas de GdE[30],0.04,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_3
Kobold Abissal,Lança de Vellum,0.02,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_3
Kobold Abissal,Aço,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_1
Kobold Abissal,Cabelo Azul,53.36,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_1
Kobold Abissal,Zargônio,7%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_1
Kobold Abissal,Minério de Elunium,0.26,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_1
Kobold Abissal,Cx Poções Brancas de GdE[30],0.04,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_1
Kobold Abissal,Guilhotina de Vellum,0.02,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gld_kobold_1
Assassin Cross Eremes,Caixa Convidativa,2%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_eremes
Assassin Cross Eremes,Walgwanggum,15%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_eremes
Assassin Cross Eremes,Rondel [1],15%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_eremes
Assassin Cross Eremes,Adaga Exorcista,35%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_eremes
Assassin Cross Eremes,Adaga do Algoz,35%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_eremes
Assassin Cross Eremes,Rugido Sangrento,35%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_eremes
Assassin Cross Eremes,Ginnungagap,35%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_eremes
Assassin Cross Eremes,Carta Algoz Eremes,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_eremes
Lord Knight Seyren,Caixa Convidativa,2%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_seyren
Lord Knight Seyren,Lâmina Turca,25%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_seyren
Lord Knight Seyren,Brionac,35%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_seyren
Lord Knight Seyren,Lança de Longiness,30%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_seyren
Lord Knight Seyren,Caçadora de Dragões,25%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_seyren
Lord Knight Seyren,Broca,15%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_seyren
Mastersmith Howard,Caixa Convidativa,2%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_harword
Mastersmith Howard,Mysteltain,35%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_harword
Mastersmith Howard,Byeollungum,25%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_harword
Mastersmith Howard,Sabbath,35%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_harword
Mastersmith Howard,Machado Impetuoso,35%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_harword
Mastersmith Howard,Guilhotina,25%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_harword
Mastersmith Howard,Tacape,35%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_harword
Mastersmith Howard,Carta Mestre-ferreiro Howard,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_b_harword
General Daehyun,Caixa das Melhores Armas,2%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/daehyon
General Daehyun,Velha Caixa Roxa,60%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/daehyon
General Daehyun,Velho Álbum de Cartas,10%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/daehyon
General Daehyun,Cx Suprimento de Armas de GdE,60%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/daehyon
General Daehyun,Cx Poções Brancas de GdE[30],40%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/daehyon
General Daehyun,Cx Poções Azuis de GdE[10],20%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/daehyon
Gioia,Caixa das Melhores Armas,2%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gioia
Gioia,Velha Caixa Roxa,60%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gioia
Gioia,Velho Álbum de Cartas,10%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gioia
Gioia,Cx Suprimento de Armas de GdE,60%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gioia
Gioia,Cx Poções Brancas de GdE[30],40%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gioia
Gioia,Cx Poções Azuis de GdE[10],20%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/gioia
Guardião Morto Kades,Caixa das Melhores Armas,2%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/kades
Guardião Morto Kades,Velha Caixa Roxa,60%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/kades
Guardião Morto Kades,Velho Álbum de Cartas,10%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/kades
Guardião Morto Kades,Cx Suprimento de Armas de GdE,60%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/kades
Guardião Morto Kades,Cx Poções Brancas de GdE[30],40%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/kades
Guardião Morto Kades,Cx Poções Azuis de GdE[10],20%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/kades
Pyuriel Furiosa,Caixa das Melhores Armas,2%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pyuriel
Pyuriel Furiosa,Velha Caixa Roxa,60%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pyuriel
Pyuriel Furiosa,Velho Álbum de Cartas,10%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pyuriel
Pyuriel Furiosa,Cx Suprimento de Armas de GdE,60%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pyuriel
Pyuriel Furiosa,Cx Poções Brancas de GdE[30],40%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pyuriel
Pyuriel Furiosa,Cx Poções Azuis de GdE[10],20%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pyuriel
Anaconda,Pó Branco,2%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/anacondaq
Anaconda,Canino Venenoso,90%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/anacondaq
Anaconda,Escamas de Cobra,15%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/anacondaq
Anaconda,Casca Escamada,2%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/anacondaq
Anaconda,Erva Amarela,1.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/anacondaq
Anaconda,Minério de Oridecon,0.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/anacondaq
Anaconda,Glaive [3],0.1,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/anacondaq
Anaconda,Carta Anaconda,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/anacondaq
Senhora do Conforto,Pena Azul,2%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/solace
Senhora do Conforto,Pedra do Sábio,0.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/solace
Senhora do Conforto,Granada,10%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/solace
Senhora do Conforto,Selo Maldito,0.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/solace
Senhora do Conforto,Harpa [2],0.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/solace
Senhora do Conforto,Harpa [1],1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/solace
Senhora do Conforto,Carta Senhora do Conforto,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/solace
Senhora do Abrigo,Pena Vermelha,2%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/shelter
Senhora do Abrigo,Selo Maldito,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/shelter
Senhora do Abrigo,Pedra do Sábio,0.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/shelter
Senhora do Abrigo,Pérola,10%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/shelter
Senhora do Abrigo,Crânio,10%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/shelter
Senhora do Abrigo,Selo Maldito,0.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/shelter
Senhora do Abrigo,Maçã,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/shelter
Druida Maligno,Folha de Yggdrasil,2%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/evil_druid
Druida Maligno,Livro de Culinária Nível 7,0.04,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/evil_druid
Druida Maligno,Erva Branca,20%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/evil_druid
Druida Maligno,Bastão Arcano,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/evil_druid
Druida Maligno,Carta Druida Maligno,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/evil_druid
Bathory,Poeira Estelar,2%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/bathory
Bathory,Areia Estelar de Bruxa,48.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/bathory
Bathory,Fragmento Estelar,0.3,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/bathory
Bathory,Grimório Antigo,0.15,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/bathory
Bathory,Vassoura Velha,0.2,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/bathory
Bathory,Cetro [2],0.05,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/bathory
Bathory,Carta Bathory,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/bathory
Turtle General,Livro de Culinária Nível 9,2%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_turtle_general
Turtle General,Casca Quebrada,53.35,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_turtle_general
Turtle General,Caixa Convidativa,0.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_turtle_general
Turtle General,Taco,0.08,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_turtle_general
Turtle General,Machado de Combate [1],0.05,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_turtle_general
Turtle General,Bardiche [1],0.09,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_turtle_general
Turtle General,Espada Imaterial,0.8,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_turtle_general
Turtle General,Carta Agressor,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_turtle_general
General Tartaruga,Livro de Culinária Nível 9,2%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/turtle_general
General Tartaruga,Casca Quebrada,53.35,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/turtle_general
General Tartaruga,União da Tribo,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/turtle_general
General Tartaruga,Taco,0.08,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/turtle_general
General Tartaruga,Machado de Combate [1],0.05,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/turtle_general
General Tartaruga,Bardiche [1],0.09,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/turtle_general
General Tartaruga,Espada Imaterial,0.8,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/turtle_general
General Tartaruga,Carta General Tartaruga,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/turtle_general
Cecil,Mente Maligna,3%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_shecil_
Eremes,Mente Maligna,3%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_eremes_
Harword,Mente Maligna,3%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_harword_
Katrinn,Mente Maligna,3%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_katrinn_
Margaretha,Mente Maligna,3%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_magaleta_
Seyren,Mente Maligna,3%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_seyren_
Mavka,Flor Cantante,3%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/mavka
Mavka,Planta da Melodia,3%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/mavka
Mavka,Flor das Ilusões,0.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/mavka
Mavka,Espelho de Cristal,15%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/mavka
Mavka,Rosa Eterna,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/mavka
Mavka,Erva Azul,30%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/mavka
Mavka,Princípios da Magia [2],0.05,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/mavka
Ovo de Besouro-Ladrão,Fracon,3%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/thief_bug_egg
Ovo de Besouro-Ladrão,Crisálida,50%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/thief_bug_egg
Ovo de Besouro-Ladrão,Muco Pegajoso,6%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/thief_bug_egg
Ovo de Besouro-Ladrão,Gema Vermelha,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/thief_bug_egg
Ovo de Besouro-Ladrão,Concha Preta,0.1,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/thief_bug_egg
Ovo de Besouro-Ladrão,Minério de Ferro,2.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/thief_bug_egg
Ovo de Besouro-Ladrão,Carta Ovo de Besouro-Ladrão,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/thief_bug_egg
Pupa,Fracon,3%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/meta_pupa
Pupa,Crisálida,60%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/meta_pupa
Pupa,Muco Pegajoso,7%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/meta_pupa
Pupa,Casca,13%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/meta_pupa
Pupa,Muco Pegajoso,7%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/meta_pupa
Pupa,Minério de Ferro,3%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/meta_pupa
Injustiçado,Aço,3%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/injustice
Injustiçado,Brigan,53.35,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/injustice
Injustiçado,Cyfar,35%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/injustice
Injustiçado,Vela do Marquês de Sade,0.02,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/injustice
Injustiçado,Jamadhar [1],0.02,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/injustice
Injustiçado,Carta Injustiçado,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/injustice
Soldado de Payon,Sopa da Sorte,4%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/payonsoldier2
Soldado de Payon,Bebida Amargosa,4%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/payonsoldier2
Soldado de Payon,Bife Marinado Brilhante,4%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/payonsoldier2
